Human_classifier_polarity,label,Metacritic_polarity,review
1,regular,1,"All the advance signs looked discouraging, but I still kept thinking: How bad could a comedy starring Eddie Murphy and Jeff Goldblum really be? Well, let's put it this way … you won't ever hear me asking that particular question again."
0,regular,0,Depp deserves kudos for fashioning an original and outlandish if occasionally menacing character.
0,regular,0,"It’s like a lost John Hughes movie with Irish brogues and cars that just happen to drive on the other side of the road. It’s also, sadly, exactly the kind of sweet little film that too often gets buried in a box office ruled by broader comedies and bloated superhero epics"
0,regular,0,"At once a powerful psychological thriller and a haunting allegory, The Return marks an auspicious feature debut for helmer Andrey Zvyagintsev."
0,regular,0,"The movie belongs to Moretz, whose sensational performance will be talked about for years. Her scenes with Cage, who wears a Batsuit and uses a voice borrowed from Adam West, are a hoot."
0,regular,0,"At nearly six hours, pic's extreme length lets Giordana and screenwriters Sandro Petraglia and Stefano Rulli build up a novelistic rhythm, pulling the audience so deeply and forcefully into their story that it becomes like a enveloping dream; when it's over, parting with the characters is truly sweet and sorrowful."
1,regular,1,"Schwartzman steals Slackers without much effort, but it's not worth the theft."
0,regular,0,"Split is funnier, campier, and more freewheeling than anything its writer-director has done — slightly overlong, but reminiscent of Brian De Palma films like ""The Fury"" and ""Femme Fatale"" in its refusal to be boring."
1,regular,1,"Yes, it's all a harmless lark. Which is why the only thing that could redeem this sour patch of candy-coated crud would be a final shot of Earth exploding."
0,regular,0,"It's a magical, beguiling wonder."
0,regular,0,"It's a modest film in most respects, but Albert Finney as Alfie is a man of great importance indeed, reminding us again that he's one of the most towering talents in film today."
1,regular,1,It's a schlock melodrama dolled up in arty frontier vestments.
0,regular,0,"Annihilation is more than mere visuals and it will shock, fascinate and haunt whatever screen it’s watched on."
0,regular,0,"This family-friendly outing captures the story's human snowball effect with a measure of sly, satirical wit, if also an excess of boilerplate subplots and jokey '80s details. "
0,regular,0,"There's scarcely a scene in which the actors, action and sound track aren't cranked up to maximum intensity."
0,regular,0,"A spruced-up version has been re-released after 22 years, and the addition of 43 minutes means the story really has room to breathe."
0,regular,0,"Director Denis Villeneuve (“Arrival”) delivers a moody, visually stunning celebration of existential angst. Not that he skimps on the kind of mayhem that’s de rigueur these days, but you have to wait for it — and wait for it. But when it does arrive, it’s awesome."
0,regular,0,Will be hailed for its macabre imagination and inventive farce. But it also elegantly renders an archetypal teenage tale.
0,regular,0,"Encountered in an appropriately exploratory frame of mind, it can produce something close to bliss. "
1,discrepant,0,"The result of Moskowitz's sleuthing is Stone Reader, a combination mystery, book celebration and -- sorry to say -- intrusively annoying self-portrait of the filmmaker."
0,discrepant,1,"His (LaBute's) work needs attention even at its nadir, which I hope this new film is."
0,discrepant,1,"The latest in a numbing series begun in 1978 by John Carpenter, and repeated five times since, with only a few plot and casting changes to detract from the brilliant slice-and-dice work of its masked hero. Mike may be getting older, but he can still sling a knife around like a chef at Benihana. [2 Oct 1995, p.F8]"
1,discrepant,0,"No question, watching this film is a tough go. Horror films cause less seat-squirming."
1,discrepant,0,"The interlocking stories are theoretically about people whose lives are associated; that worked in ""Crash."" Here the connections seem less immediate and significant, and so the movie sometimes seems based on a group of separate short stories."
1,discrepant,0,"It took guts to bring this story to the screen, but at its core it has the wrong stuff."
1,discrepant,0,"Ultimately comes off as curiously anecdotal, lacking the dramatic dynamism that could give Marcel Pagnol's tale new life."
1,discrepant,0,Too often goes off on a tangent with unessential anecdotes and then fails to deliver in more important areas.
0,discrepant,1,A sickly sweet family drama.
1,discrepant,0,"Alice in Wonderland is curiously devoid of metaphors and allegories about a young woman on the cusp of adulthood, about to be engaged by arrangement to a loathsome toad of a man she can barely stomach. The lack of psychological subtext is hugely disappointing."
1,discrepant,0,"By modeling its structure so closely after ""All the President's Men,"" Spotlight only draws closer attention to its lack of scope and ambition.  "
1,discrepant,0,It's a doozy of a story and so borderline ridiculous that it sounds - ta-da! - like something that could have been cooked up only by Hollywood.
0,discrepant,1,"The film's images, so continually heartrending so as to never become redundant, effectively function as visual proselytizing."
0,discrepant,1,"""Legally Blonde"" was a splashy, wide-screen near musical, a movie made in the spirit of Elle Woods herself. Legally Blonde 2 is Elle Woods' eulogy. "
1,discrepant,0,Figgis's film doesn't match its reach.
1,discrepant,0,"The cumbersome wrap-up, which follows a four-year narrative gap, seems too fanciful and bogs down what has been a stronger second hour."
1,discrepant,0,"It is an episodic, chunky film of over-explicated ideas and speculative set pieces."
1,discrepant,0,"A good third of this overblown movie consists of stunt-filled action sequences that turn a human story into something akin to Cannonball Run. That's too bad, because Goldberg's character is a terrible thing to waste. "
1,discrepant,0,"For all the hundreds of thousands of dollars being thrown around, The Gambler is much closer to a friendly game of poker with some loquacious, quick-witted friends than a glimpse at the gambling world’s dark underbelly. Neither is it a preachy moral tale."
0,discrepant,1,"If the glue holding Crash's arcs together was Paul Haggis's belief in the power of racism, this time it's love."
1,contextual,1,"If all a movie needed was a boy with abs and a gun (or slingshot), then Beyond the Reach would be a masterpiece. "
1,contextual,0,"Push any guy long enough with alcohol and aggressive masculinity, the film suggests, and you'll find an XY-chromosomed predator lurking behind the mask."
0,factual,0,"The overall effect is of something too large to fully comprehend, yet also too intimately sad to ignore, the kind of dilemma that Ai believes speaks directly to who we are as human beings — that ingrained desire to better ourselves, the right to migrate toward safety and prosperity, and the belief we’ll find solidarity in that quest."
0,factual,1,The handful of redeeming moments in Jayne Mansfield’s Car belong to Duvall in the role of a septuagenarian who finds himself more and more at odds with a changing world.
0,mixed,0,"Ultimately, Anthropoid is quite gripping, even if it feels like two movies in one."
0,factual,0,"“Shadows” has its share of lines that will be repeated by fans ad infinitum (a favorite: “Yes, now Google it”)."
1,mixed,0,"The prize for most sick-making movie I've ever seen goes to . . . that Driver's Ed film I saw when I was 16. The psychological thriller Hard Candy is right up there, though. I didn't know whether to applaud or barf."
0,mixed,0,"If you think Kevin Hart is funny — as I do — you’ll laugh frequently, as I did. If you don’t, you’re not going to this movie in the first place, are you?"
1,contextual,1,Invites the kind of judgment it condemns.
0,factual,0,"Though one gets a sense there is part of the story Marks isn't telling, we do pay attention to the man behind the curtain."
1,mixed,1,"Despite a few good scenes and ideas, and a final ten minutes that will be affecting for anyone who lived through the aftermath of the attacks on New York, the end product often feels like a standard-issue high concept romantic comedy with scaffolding of 9/11 solemnity built around it."
0,contextual,0,"The Five Obstructions clearly calls for a sequel, in which Leth would require von Trier to remake ""Dogville,"" despite Obstructions 6 through 10. "
1,mixed,0,"Ma Mere, with its sun-drenched sense of dread and band of reckless, unlikable characters, isn't very good, but that doesn't stop the actors -- especially the intrepid Huppert -- from going all the way."
1,mixed,0,"Bailed out by a few good jolts, Jurassic World gets by, barely, as a marauding-dinosaurs narrative designed for a more jaded audience than the one ""Jurassic Park"" conquered back in 1993."
1,mixed,1,"Despite its intelligent agenda, swollen heart and fabulously epic surface, amounts to a didactic banality: a white guy's politically correct lesson abroad."
1,contextual,0,Greenberg would be a heckuva movie if we could just get Greenberg out of there.
1,factual,0,"Frustratingly, though, and not a little ironically, Justman chooses to focus on the new stars when they sing, rather than on the Funk Brothers playing in the background. Just as curiously, he paints a remarkably rosy picture of the old days, overlooking the racism and exploitation the Brothers surely experienced."
1,mixed,0,"At its best, The Tree of Life makes the viewer lean forward, eager to enter Malick's own dreamy, poetic consciousness. At worst, it leads to the vague feeling that we're listening to the meanderings of someone who's not sure we're smart enough to keep up."
1,factual,1,"It makes me sick all over again just describing this--the most affecting scene in a sluggish would-be comedy that reflects the dubious state of the art of fat male comedians exploiting themselves in 1997, the year its star died."
0,factual,0,Oregon is more than a bittersweet look at a man deciding to end his life before he’s too invalid to have a say in the matter: It’s a study of how plain ol’ stubbornness can keep a family forever brimming with dysfunction.
0,mixed,0,"Is the relentlessness too much? At two and a half hours, perhaps, but inventiveness abounds."
0,contextual,1,"Ms. Ryan's lean, eagle-eyed golden girl is enough to curdle milk."
1,contextual,1,"It seems to have had the opposite effect on the director's taste, as she strives for new levels of raunchiness."
1,contextual,1,Cop Car is an instance of what happens when an airy indie filmmaker tries to “do genre” and winds up being as convincing as John Kerry putting down his demitasse and dressing up in hunting gear.
0,mixed,0,The movie’s only real drawback is that its singleminded approach sometimes omits crucial information.
1,contextual,1,"The problem with Mel Brooks these days is the same one Woody Allen would have if he kept making Bananas over and over. [30 July 1993, p.3F]"
1,mixed,1,Delpy's injection of class into an otherwise classless production raises the specter of what this film could have been with a better script and a better cast surrounding her.
0,contextual,1,The first step in getting beyond preaching to the converted is letting the other side show how wrong it might be.
0,factual,0,The Trials of Henry Kissinger serves as both a prosecution brief on the above charges and an unauthorized biography.
0,contextual,0,A madcap gem.
1,contextual,0,"If nothing else, The Cable Guy will make you think twice before trying to pick up a free movie channel. [14 June 1996, p.C]"
0,factual,0,"Free love, vegetarianism and lack of personal property are the rule."
1,contextual,1,Dick works best as a catalog of style: It's the story and the acting that are the window dressing.
1,mixed,1,"Blanchett's performance is Soderbergh's biggest mistake. He either encourages or permits her to play Lena as a Greta Garbo caricature, which is mildly amusing if you're interested in Garbo, but if you're interested in Lena and The Good German, you're out of luck."
1,contextual,0,The reason to see Chasing Mavericks is the same reason why people flock to shore locations when a hurricane approaches: the waves. This is less effective as a bio-pic of Jay Moriarty than it is as a big screen National Geographic Special.
0,mixed,0,"While the beats of the story are often stock, the picture benefits from sensitive direction by New Zealander Niki Caro (Whale Rider, North Country) and from a most appealing performance by Kevin Costner."
1,contextual,1,"A Time to Kill seems to argue that America's racial problems aren't so bad because, even in the heart of bigoted Mississippi, a black man can get away with murder."
1,mixed,0,"The only player in this tawdry round-robin game who moved or seduced me in any way was Andy’s poor, hapless Gina. Tomei’s an ordinary beauty...  But she has real screen presence and range, and her neglected wife is an artful inversion of her Oscar-winning role as Danny DeVito’s pert squeeze in ""My Cousin Vinny."""
1,contextual,1,"It seems that in the movies, at least, there is a limit to how far low expectations can take you."
1,contextual,1,"The line between priggishness and creepiness is repeatedly smudged by multihyphenate Rik Swartzwelder in Old Fashioned, a faith-based drama that looks as lovely as an expensive greeting card, but moves as slowly as a somnolent turtle."
0,mixed,0,"Whether Girl Most Likely intentionally satirizes its upending of conventions or suffers from a half-assed screenplay, the resulting hodgepodge at least livens up a clichéd premise. "
1,mixed,0,"If imitation is the sincerest form of flattery, then Eddie Murphy has just paid himself a heartfelt compliment. Cut for cut, his Beverly Hills Cop II is almost a perfect match for the wildly successful ""Beverly Hills Cop I,"" with only the crimes and the shticks changed to protect fans of the original. It could have been written by a witty computer. That's not all bad, given the quality of the model. [20 May 1987, p.C13]"
0,mixed,0,Brisk pacing and a remarkable cast achieve the sleight-of-hand effect of making you forgive some implausible twists and a sanitized ending.
0,contextual,1,The net result is a truly numbing experience.
1,contextual,0,"At times, these singers’ versatility has kept them both regularly employed and deliberately anonymous. "
0,mixed,0,"If holes in plots bother you, Marathon Man will be maddening. But as well-crafted escapist entertainment, as a diabolical thriller, the movie works with relentless skill."
1,mixed,1,"In some ways it takes the right approach, attempting to mix moral lessons into a narrative rather than hit audiences over the head with them. But the lessons are so pat that every moment in which Pepper makes a good moral choice feels like an act of self-congratulation. "
1,undefined,0,"Director Espinosa shoots virtually everything in tight but wobbly close-up, and the human and vehicular combat often brakes right at the edge of visual incoherence. Just as often the brakes give out completely."
0,undefined,0,Richard Pryor is a scream as a wrongly accused bank robber. Gene Wilder is just so-so as his partner. [19 June 1981]
1,undefined,0,"If Scream and Heathers shacked up and had murderous, millennial offspring, it might look a lot like Tragedy Girls."
1,undefined,1,"An amazing film amazingly tasteless, tin-eared and awkward, but amazing all the same. Anyone with a predilection for bad movies might want to see it, if only in an inspecting-the-wreckage spirit, since because movies this misguided come but once or twice a year."
0,undefined,1,"Rois has moments of desperate urgency and depth, but Twyker's love of parallels is finally done in by artsy shots of the threesome au naturel against stark white backdrops."
1,undefined,1,"A vile concoction. [25 July 1983, p.75]"
0,undefined,0,"Fast Five is brawny dumb fun, nothing more but that's enough."
0,undefined,0,Blistering and nihilistic--a vision to reduce you to a puddle of despair.
0,undefined,0,"This is all far beyond silly, of course - the most inconsequential sort of winking, meta-movie in-joke."
