Human_classifier_polarity,label,Metacritic_polarity,review
0,regular,0," Before the incident, these young Parisians act as if they'd be at home in a trailer park if they had the money for a RV. But then the husband does something unforgivable, and the emotional age of the mother is brought up to speed. What was plural(in reference to the characters' demeanor), now becomes singular, and the dual meaning behind the film's title is unveiled. ""L'Enfant"" is a story about arrested development. Although the docu-drama approach to ""Le Fils"" is greatly missed(this film is shot more like ""La Promesse""), the ambiguity remains, albeit later in the game. In ""Le Fils"", we're not sure about the carpenter's interest in the young boy, and in ""L'Enfant"", an act of contrition might indeed be an act of self-interest. ""L'Enfant"" is a very good film, but it's not the equivalent of ""Le Fils"" and ""Rosetta""."
0,regular,0,I don't understand why people dislike this movie. It was pretty good. The story was comical and cool. The acting was good. It's not my favorite movie but it's definitely a movie worth seeing.
0,regular,0,"Finally Star Wars evolved and found a formula to evoke emotions in a non-nostalgic way. Disney realised that 'never change a winning formula' wasn't in place anymore. They needed new values and leave the predictable (and almost milked) concepts behind. The simplicity of good versus evil makes place for something more nuanced. A lot of people will hate this movie. I can only applause it.By the time the movie ended, it had brought pure catharsis. One advice: go empty-minded and enjoy the ride."
1,regular,1," The first was OK, the second put me to sleep. (literally, my lady friend said I was snoring :P )"
0,regular,0," A flawless meditation of a time literally brought to life through skillful acting, immaculate research and a knowing understanding of the not too distant past."
1,regular,1," My wife ans I walked out on this movie and got our money back. Jody Hill better go back and take a refresher course in writing . Lanuage was deplorable.F word every other word. If Jody Hill thinks his audience needs to hear filthy lanuage to make a movie funny, he needs to think again."
1,regular,1,"This movie has just too much CGI. Michael Bay sucks. There is no character depth into the Turtles, instead focuses on Megan Fox's April O' Neill. This was bullcrap."
1,regular,1," I also walked out on this movie. It might be possible to interpret it as sharp, Swiftian satire on American bigotry, but it is much easier for audiences to laugh, not because they get the more subtle points it perhaps tries to make, but because they find its crudities, its racism, its homophobia, its sexism, and its anti-Semitism funny on their own. I think this movie gives Americans an excuse to claim they are watching something very high-minded while actually revelling in their own prejudice."
0,regular,0,"Stars Matthew McConaughey and Jared Leto certainly put themselves through the ringer here playing aids stricken characters, McConaughey even going as far as to shed a considerable amount of weight for his role. Economical editing propels the story forward and the two lead actors are superb even if the film suffers from a mid section that seems to lose some momentum. Things become very emotional at the end with Leto registering strongly in these scenes."
1,regular,1,"Why is this film so praised? Our protagonists are a naive stuck-up girl right out of college and an equally stuck-up cynical actor. Neither show any real interest in Japanese culture (he's even quite disrespectful) and neither makes any really attempt to connect with the Japanese (even though they both get the chance to connect). Even though she seems to have a degree in philosophy and he seems to be somewhat of an intellectual type, their interactions remain mostly superficial. And still, their interaction with one another is pretty much everything we get to see for this entire film. I guess this film appeals to people just as pretentious and shallow as the main protagonist (which is the only reason I can think of to explain its popularity), but I personally found it hard to connect with either of them AT ALL. Further, I wonder how much sense it makes for their relationship to have remained purely platonic. Both seem to be estranged from their respective spouses, his wife is on the other side of the ocean, her husband is on a photo shoot for several days, both act like they haven't had sex in a long time, she's a beautiful impressionable young girl, he's a famous actor, they both don't shun alcohol and at one point they become close enough to lie together on a bed while he touches her feet. Maybe it's just me, but I personally find it hard to believe they didn't end up having sex together considering the aforementioned conditions. Anyway, the shame and confusion arising from such a situation (after both realise they made a mistake cheating their respective spouse) would at least have made a far more interesting film to watch Maybe this film appeals to people who never spent more than a few days in a foreign country, but having spent about 3 months in Poland I couldn't see anything I haven't experienced myself AT A FAR GREATER INTENSITY. For me, this makes ""Lost In Translation"" as exciting to watch as two people sitting at a bus stop waiting for the bus to arrive. Actually the latter would probably be more interesting, because the bus doesn't take THAT long to arrive."
0,regular,0,"Bizarre, twisted, absorbing and marvelous, yet, incomparable with his recent work. Nevertheless, La Piel que habito is completely enjoyable and entertaining."
0,regular,0,"A sweet film. The lives entwined by childhood innocence, love and consequences enlivened by the beautiful natural surroundings helped it become more bearable. This film was naturally emotional, instead of forcing yourself not to cry, it does it for you. It also has one of the most haunting endings you could ever have in such a drama. If the film is that good, I will have to read the book as well. The acting in this is also particularly significant, such as the traumatic performance of the life of Briony."
1,regular,1," What a completely implausible, unrealistic tale. Why would any one not admit the true motive for such an act - love based euthanasia unless they were totally pathologically masochistic and equally totally inconsiderate of their family's feelings? Why wouldn't any one have arrived at the most obvious,and reasonable explanation? If you like a melodramatic weeper this film should float your boat. Of course Kristin is very easy on the eyes, even when morbid of visage as is mostly here ."
0,regular,0,"Ugh this was a tough one. Started watching with the idea that i'm not gonna like it. 5 Minutes in I'm interested and by the end I was on the edge of my seat.The thing is, I was rooting for the blind guy to kill them and fyeah. But as soon as we saw the person being held up in the basement.. boy I was not on his side, Fun watch, good acting, maybe hoping for a part 2. BUT if there is a part 2 and its the guy chasing after the girl..  the guy didn't get her name or aadress or anything, just her voice and the smell of her shoes.  And the police think there were two people robbing the place."
1,regular,1,"The positive reception from the users on this site just goes to show how easily entertained people are.  This movie is completely souless.  Every character feels like a cardboard cut out, which is unforgivable when you cast the likes of Russell Crowe, Kevin Costner, Laurence Fishburne, Amy Adams, Michael Shannon, and Diane Lane.  Man of Steel tries to be dark, and at times it is, but the movie is a little too corny to be taken seriously.  It's basically a slightly better version of a Michael Bay film, and that is obviously not meant as a compliment.  I can't remember the last time I was more dissapointed in a movie, but I suppose that's my own fault for getting excited for a Superman movie."
0,regular,0,"A really great arc - if Craig finished here it would be a great place to end. But I'm desperately hoping he makes another one or even two. He took a silly franchise full of cheesy gags, stupid plot lines, bad actors, and terrible directing and made it into a distinguished cinematic phenomenon. Bravo, Mr. Craig. You've got the intellect and tenacity to fulfill your goals with this outstanding film. Thank you for bringing Spectre to us."
0,regular,0,"Movie made you feel whole time like you are sitting on needles. Absolutely loved it. Great acting by Ewan McGregor, and great directing by Roman Polanski, he made end just like i expected from him."
0,regular,0," Just look at the non-State cast that's in this film. Cooper, Banks, Poehler, Meloni, Pierce, Moreau, Rudd, Shannon, it's ridiculous. You think all these people got it wrong? Like they didn't all WANT to be in this flick? David Wain is a genius. ANYONE who says this movie is stupid can just drive their SUV off a cliff after picking up their fat children from Sunday School. It's beyond pathetic that I ever respected morons like Stephen Hunter of the Washington Post. This movie will not be accepted as legendary for at least another decade, but when it comes down to it, many of the actors who contributed to this work will look back on it as their finest of shining moments. I can't wait for Wain and Michael to come out with the prequel to Wet Hot. Buy the State on DVD!!!!"
0,regular,0," I'm getting pretty sick of those people saying that there is no chemistry between Farrell and Foxx- what do you expect, for them to kiss?? These characters are meant to be professionals who reside within a corrupt, bloody and violent environment. Mann is exploring the conflict in these characters of being in such an environment and having to supress their emotion. As a result Crockett and Tubbs have to be cold hearted. The fact that there are so many sex scenes? Perhaps to show that real love cannot exist within these surroundings. Miami Vice is not supposed to be 'glamourous' or 'rewarding'. Mann should be praised at not conforming to 'Hollywood' style 'wrappings'. The characters are meant to be distanced from the viewer. This is perhaps why we struggle to understand the dialogue and the speech. Mann does not want the middle class viewer to say to themselves--'oh I can connect with these characters, now I understand what this kind of life is all about' and then switch off the Tv or leave the cinema to return to milk and cookies and a warm bed. Crockett and Tubbs are meant to be difficult. People complain that there is essentially no story, which is absolutely dim-witted. The story is at its basic level a drugs bust. There thats it: what more do you want, aliens? The Lock Ness monster? A talking square of sponge? This film is searching for a gritty realism and that means no resolved endings or reformed charcaters, no closure or final resolutions which the viewer can be 'satisfied' that everything has fallen into place. The title only comes up at the end because nothing has changed: there will always be guns, drugs and killings. There will always be vice, and no Crockett or Tubbs can change this."
0,regular,0,This is definitely the best action pack movie from Mission Impossible series and the best action pack movies this year. It is a non-stop action movie right from the beginning till the end. It is very important to catch audience attention for the first 2 to 5 minutes of play time. This movie did a great job on this and kept continuing till the end. Action packed movies lovers would definitely quarantee to love this.
0,regular,0,"Cowboys &amp; Aliens is very entertaining. Is it art? No. It's just great commercial entertainment. It's an exciting, funny, scary way to spend a couple of hours. It's shot beautifully. The casting is first rate. The faces on the old west guys are worth the price of admission. It's not nearly as good a film as the first Alien movie, but it has a lot of the same scary/entertaining qualities. If you want to have a fun ride on a Friday night or Saturday afternoon this the movie to see. Should you see it now or wait until it's available to rent? See it in a theater. The sound and visual effects demand a big screen. You can rent it later. Because you'll want to see it again."
0,regular,0,"One of the best movies ever. However if you are an movie lover who needs  violence with a lot of blood, sex and vulgar dialogs, do yourself a favor and do not waste your time.Everyone else...enjoy!"
1,regular,1,"I never thought there would be a Star Wars movie that would make me want to walk out of the theater. I never thought there would be a Star Wars movie that I never wanted to watch again. I never thought one Star Wars movie could taint the entire series, possibly beyond repair - but somehow they managed to do all those things.I have watched the original trilogy easily 50 times. I grew up in awe at the universe that George Lucas created, in awe of the amazing way Star Wars balanced incredible creativity and imagination with down to earth, amazing characters. The balance of being very futuristic, but almost in a way so nuanced and relatable that it seemed like it could actually be real.Enter The Last Jedi - completely took all relatability and threw it out the window. This movie completely started rewriting the Star Wars universe. The Force is apparently much different than the other 8 movies showed us. Characters apparently use 10 times the amount of sarcasm and humor that they did in the other 8 movies. The physics of space are different than the other 8 movies.Not to mention, the many totally and utterly pointless scenes that did nothing for the story or the character - What was the point of Rey going into that dark hole and seeing 1,000 of herself in the mirror?! Why was the code breaker in a jail cell if he could just let himself out?I physically cringed/rolled my eyes multiple times during the movie. They took the beauty, the depth, the amazingness of the Star Wars saga and made it a cheap, made-for-merchandise, gimmicky superhero movie a la Transformers or Avengers. It screamed ""WE MADE THIS SO WE CAN MAKE LOTS OF MONEY"" not ""WE MADE THIS BECAUSE WE FREAKING LOVE STAR WARS"". I cannot believe this movie is supposed to sit next to the original trilogy on the shelf.There were so many moments I thought there might, just might, be a redeemable storyline and every time it was a let down. Poe going rogue to save the day - nope, just kidding. Finn giving his life to save everything - nope, replaced by the cheesiest line I've ever heard from Rose, a totally disposable character who seemed thrown in for the diversity requirement. Imagine if Laura Dern's AWFUL character (I was hoping she would die the entire movie) was replaced by Admiral Ackbar giving himself up for the resistance!! It would have been so much better and a character anybody remotely cared about. Luke following Obi-Wan's example and giving himself up - nope, he was Force appearing somewhere (which no Jedi master has ever been able to do before) and died anyways.....WHAT?!!?!Not to mention, the agendas and cheesy messages that were so obviously pushed throughout the film - ""You can do anything you want, no matter where you come from"" ""It's not about fighting against what you hate, its about fighting for what you love"" Save the animals. Be a vegetarian. I could keep going. There is nothing wrong with these messages, its just that they were forced into a STAR WARS MOVIE! Go put that in your low-budget animated  for kids, Disney. It was an assault on the audience's intelligence, like the director didn't realize people would pick up on how obviously he was forcing messages through. So many terrible lines as well, like the characters were giving us all a play by play. (Finn saying, ""Man, they hate that ship"" or Poe ""Oh, so you mean we're going to slip down to the surface and wait for the First Order to pass"") Thank you for forever ruining this series, idiots. Thank you for literally destroying a piece of my childhood. I just can't believe this movie was released. I might need freaking therapy to get over it (ok, a little over the top). Our only hope is that JJ Abrams that somehow pull this train back onto the tracks. But its a long journey back to the tracks."
0,regular,0,"Giamatti's character's dimensions are written with such care that it makes him tangible and engaging.  He's both fragile and explosive.  When set against Haden Church's aging jock it creates a great story with a Laurel &amp; Hardy quality to it.  What I liked though is that looks at love were highly imperfect but still had real consequences.  Jennifer Aniston is not in this film. The actors are believable.  I was able to want to believe them, right or wrong, for better or worse."
1,regular,1," Boring! Do not believe the critics. Save your money, rent something else."
1,regular,1," Slander in its most blatant form. Cain, Voigt and the crew are not historical authorities, and less, objective. This is a hateful, slanted, untamed, and utterly worthless. The romance trivializes the situation, the shoddy history attacks Mormons, the sappy writing makes one gnash their teeth. The worst movie ever. (and why are the reasons that it was given an 8 or 10? Because ""Voigt said"" or ""Mormons won't like it"" or ""it's not attacking Mormons"". Please. How stupid can they be."
0,regular,0,"There´s no movies like this anymore! its just the magic aura of old Hollywood, the romance and the dreams (and/or broken dreams) of real people... amazing performance for Emma Stone, amazing score... it deserves your time and attention."
0,regular,0,It's another severely underrated film of 2017. Unlike the mega-conglomerate it's based on(maybe it would have been more successful if it was called McDonald's)this movie got little in terms of money. Might be the best movie until the March hitters roll out
0,regular,0," For those who thought the filme is boring, I may tell u that maybe your brain is a little slow. For those who thought it's sensacionalism, go to Africa, and find yourself. The movie? Excellent is not a word for it. It's overwhelming. It may let you thinking how worst it could become or how can you keep sat an do nothing while all of it is hapenning? But, you will only think about it if u have at least a little sense of humanity. If you haven't, so u may say the movie is preposterous."
1,regular,1,"Saw the film yesterday at a double feature knowing nothing about the plot of the new film. Now that I'm sure it will be one of the Epic fails of Hollywood history, there may some nostalgic value to the ticket stub like the summary says, ...  "" Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ ... ..except of course,  for Jeff Goldblum, with a new love interest - (I guess there wasn't still some love there..) and this IMHO was the main flaw - they made up an imaginary earth where (because of the previous alien invasion) all countries live together in peace, and we have outposts on Jupiter and nearby planets , including bases on the moon, all  amazingly accomplished in only 20 years! ( Alien invasions might be good for us?) So this time its jets outfitted with alien weaponry, and US soldiers with laser weapons - it is clearly Star Wars envy!  And therefore it goes from being a disaster movie to episode one of the new fantasy story where we learn how mankind goes from a  peace loving species (organic life form) to an invading alien ass kicker who will boldly go where no man has gone before, to kill aliens with their own technology while they sleep - courtesy of the iBeachball from space and a long dead alien race. Episode 2  Revenge .... Now we'll be the aliens taking over planets and consuming all their resources and polluting them at the same time - Watch out the humans are coming!"
1,regular,1," Fool me once shame on you fool me twice shame on me. With that being said I will never attempt to watch any movie Lucas does again. Between this, episodes I, II, and III, and the last Indiana Jones movie I"
1,regular,1,"I never thought I would give a movie a zero, but The Visit deserves it. Take the two annoying cutesy children from the original Jurassic Park (where there were dinosaurs to watch at least), add a plot twist you could see coming after the first 10 minutes (well, maybe two minutes), several foul adult diapers, some silly references to the oven in Hansel and Gretel, and you’ve got a real stink bomb on your hands. I am amazed that this got the decent critical reviews that it did. Worse yet, we had to sit through the coming attractions for Pan – I guess we were just the wrong audience. The actors who played the grandparents didn’t do a bad job, and you had to feel sorry for them since they had so little to work with."
0,regular,0,Very possibly the funniest move ever made.
0,regular,0,"It's just about as good as these type of movies gets. Great-looking, filled to the brim with humor, and riddled with great performances from it's star-studded cast."
0,regular,0,"Absolutely perfect. Logan's  Emma's &amp; Ezraa's performance are great. I was so moved during the whole movie. It was a long time since I saw a movie like this. That makes me cry, makes me wanna fall in love, makes me happy, makes me wanna be a better person. And the message of the movie it's so strong."
1,regular,1,Cloverfield made no sense to me. There is no plot at all to the story even when the soldiers are involved in the quarantine of personnel because of the
1,regular,1,"The new Dreamworks animated movie is a spin-off of the popular but not so good Madagascar film series and it’s their 3rd feature of this year following Mr. Peabody &amp; Sherman and the sequel to How To Train Your Dragon. The plot involves the 4 well-known cute and cuddly penguins Skipper, Kowalski, Rico, and Private going against our villain, a purple octopus named Dr. Octavius Brine who’s trying to collect all the penguins around the world and transform them from cute and cuddly to monstrous and disgusting. On their way they encounter an elite undercover inter-species task force called North Wind that the penguins will also have to deal with. Now, this is a spy thriller and like all spy thrillers this one features a lot of gadgets and super-secret agents trying to stop a villain from conquering the world. Classic formula. Thus, when going into a movie like this you have to suspend your disbelief because you know that some of the gadgets or gizmos are capable of the implausible. However, this is not the case because the most inconceivable comes from the things that go down in the action scenes. It’s not ridiculous in a fun way. It’s ridiculous in a head-scratching and unpleasing way. You could dispute about the fact that is an animation and things like this shouldn’t be taken seriously but even for an animated movie it is unendurable. I was in with my 12 year old cousin and I thought she would like the film but I noticed that she facepalmed herself lots of times during its running. That’s how you know they went over the top. The movie begins with our 4 fellas breaking into Fort Knox as a present for Private’s birthday. They arrive on a makeshift glider, they take down a few guards and put in an unlikely voice password (but hey, you never know) and boom they’re in like that but wait because the movie isn’t only taking our suspension of disbelief and is beating it over with a mace but it also makes us drop our jaw on the floor from how stupid it can be. So, after they break in arguably the most guarded place in the world with just a few moves,they’re not looking for the gold but for the chips vending machine that’s in the back of the gold room. I am not even kidding. That happened. Later they escape from an airplane that flies at an altitude of 8 km (if I don’t mistake) by opening the cargo door and breathing without worries as if they were on the ground. Below them another airplane is on the route and they jump and just smash through the steel fuselage and get inside, again like it’s something normal, and get to the cabin and take out the pilots and change course while the passengers in the back are just a bit scared because of some penguins breaching in. Just that. Something is wrong, isn’t it??? Yes, it is. After Skipper and his comrades smashed in there were no alarms going off, nothing signaling an uncontrolled decompression that would probably,most likely make the plane crash. Only a lot of screaming. But this movie is not only characterized by ludicrous events but also by a clichéd and predictable plot and one-dimensional characters. The screenplay is written by John Aboud, Brandon Sawyer, Tom McGrath and Eric Darnell. There’s nothing interesting about these penguins and since the screenwriters didn’t have any new ideas for an original or at least working story they just put in some spy movie clichés that we all moviegoers know about and added in a dash of gags. Adding some smiles didn’t save its reputation because not even the smiles are good. They either last for too long or just aren’t funny. There was only one pun relating to the fiscal issue in France that actually made me laugh. Though the screenplay wasn’t good I can’t say the same about the camerawork. Sometimes the camera follows graciously and smoothly the protagonists giving the movie a better flow and making the nonsensed and fast action easy to follow. The editing is top notch and the animation is beautiful presenting vivid and powerful colors. These were the only positive aspects of this picture. Luckily, I had the opportunity it in 2D and not in 3D. I heard from different critics that the 3D was good and that’s proving once more that Dreamworks has a certain respect for the 3D but I wish they respected us moviegoers and kids as well by delivering movies that are good on a story level. Honestly, this year was a pretty good year for movies and I thought this one was going to stump my bad feelings regarding it but it’s just another piece of gain from the studios and it’s more an exhausting ride than exhilarating one. Kids will have fun and I guess this film is going to make a crap load of money and it will spawn a few (5) sequels that I hope not, of course, but I fear will all be this bad. Adults will be able to enjoy it only whilst being drunk. Yep, get ready."
1,regular,1,"I really don't know what Alfredson was trying to accomplish with this movie because it is neither smart or complex; It's boring, uneventful, and totally confusing. Trying to be cerebral is one thing. Totally leaving your audience in the dust is another. And I say this admitting that I loved Let the Right one in - a beautiful movie. This on the other hand is self conceited mumbo jumbo."
1,regular,1,"While living up to the brilliance of the revolutionary original trilogy could not be expected. The first instalment of Lucas's 'Prequel Trilogy' really sets the tone for how low star wars would sink. This tale, unlike the first three, contains a story no human could understand and fails at its job to keep even the hardest of fans from shedding a tear at what star wars has become. The only reason I have rated the movie above 1/10 is simply due to John Williams once again incredible score, with 'Dual of the Fates' being a soundtrack masterpiece."
0,regular,0," Thought-provoking, intense movie with Matt Damon's performance deserving of an oscar. The complexity of the character and the moral implications of the story deserves this high rating."
1,regular,1,Brief moments of interest amid a sea of dullness.
1,regular,1,"Music is defined as, ""An orderly arrangement of notes that are pleasing to the ear.  Similarly, when I watch a movie, I look for this same ""orderly arrangement"" of scenes and music that are pleasing to the ears and eyes. This lack of an ""orderly arrangement""  made the movie hard to follow. It looks as if the Director tried too hard to compete with more accomplished directors, such as the maker of ""Gladiator"".  So, I leave this advice for this movie's director:  Begin with the end in mind. Understandably, there is a big gap in the critic ratings.  For those that ranked this movie ""10"", ask them:  What did you like best about this movie? Watch how many times you hear, ""Ah...Well...Let me see...I plan to see it again.""  Then, you can decide for yourself."
1,regular,1,"I watched this movie with a friend tonight but we couldnt finish it. I was that boring! There was no story, no drama, and the conversations and dialogue was horrendous! My friend said that this is how itreally happened but I dont care for reality, I want a thrill."
0,regular,0," Great film, but could of been better. Cons: Steve the monkey, the final bit of the movie was gross and too long Pros: Everything else."
1,regular,1,"It's funny how the ""2005 version"" of Kong is better in every single aspect, even in special effects. The only thing that caught a little bit my attention was the weirdness or the direction and production, but it didn't even fit well in the movie. If you are looking for a movie with action scenes only, it might fit for you."
0,regular,0,"Hilarious As HellThis Is One Of DreamWork's Most Underrated Films To Date, There Are Funny Scenes With Lovable Characters From Beginning To End."
1,regular,1,Star Wars is dead Gender Diversity Wars this should be titled. Star Wars is dead Gender Diversity Wars this should be titled.
1,regular,1,"American Hustle does not bring us anything new, and yet it still manages take risks in the end were completely unnecessary. I think people are fooled by the stellar cast and flashy costumes into thinking this is a good movie. If this same movie were made by M. Night Shyamalan, people would be saying it was just another bad Shyamalan film. Because it is from David O. Russell, people praise it as another good Russell film. This is a film that is supposed to focus around the idea of survival, and what you would do in order to get the money, or fame, that you need in order to survive. Yet it teaches us nothing new about the ideals of American society, and this fictional telling of an actual historical event falls flat on its face at it appears as just that: Fictional. David O. Russell dazzled with The Fighter and Silver Linings Playbook, but he just got too cocky here and thought he could tackle 5 different characters in an interwoven story and still allow us to focus on one thing. The acting is great, no doubt, and the writing is pretty good too. However, we end up getting bored by the pointlessness and irrelevance. The opening 10 minutes is some of the worst filmmaking I've ever seen. Though it picks up decently after that, it is not nearly enough to save what I view as an unnecessary movie."
1,regular,1,"Don't waste your time. It's not scary. Don't think: Maybe fun to watch because it's a bad movie and could therefore be entertaining. Well if you just happen to have a heavily security-guarded cinema filled with people raging about the stupidity of this film be welcome to somehow enjoy part of the movie but by no means think you won't feel disappointed in the end.Read the Spoiler reviews to know what exactly is wrong with the film and go on with your life, PS: Yes, I registered an account just to rage about the film and I feel better now, thanks!"
1,regular,1,Bad storyline. Decent to bad acting. Horrible storyline. Even the special effects (which really aren't that good) can't save this one.
1,regular,1,"The trailer was promising to me &amp; I expected it to be a really good movie, but instead it was ""meh"". I didn't really like Cruz &amp; it was heartwarming how Lightning McQueen made a tribute to Doc at the end, but the trailer made it seem action packed &amp; it wasn't as good as I expected."
1,regular,1," Poor acting, poor writing, poor production overall."
0,regular,0," This is clasic Adam Sandler, very funny. What I like best, however, is the dramatic turn it takes and the very real side of society it shows. Kate looks amazing!"
1,regular,1,"Let me start out, Yes, I have read book, and yes I Loved the book. I think it one of the best book I've ever read. I've was excited when the movie was Announced. Then the trailer... I got nervous. Very nervous. But I was still excited. So months pasted by and I forgot about the movie until July. Then the movie came out at No.5 at the Box Office. Boys, We have a Bomb at our hands. So today, My sister decided to buy my ticket for this movie for my Birthday. After the first 10 min of this movie. I knew it was bad. The Story: If you read the book. You still don't know the story, According to the writers. The Acting: Okay... At times. Now that I think about it, it bad. Taylor Swift has 15 seconds of screen time. Even though she has 3 billing in the cast list. The Additional's: This category is about any of the Additions added into the movie. They forced a love triangle. The love story was so forced. It laughable how cheesy it was. I can explain it in two word: Completely Unncessary The Ending: They change the ending a lot. Now instead of having it end on a cliffhanger. That to complicated for us. =Sarcasm. Now they end with Jonas passing the Barrier of Memory. Now everyone in the ""Community's"" have memories. Nice job Phillip Noyce. You buttered the best ending to book, ever. Overall: I despise this movie. I hate it. 0/10"
0,regular,0,The critics of this movie are either naive or unwilling to face the reality of how the government in this country is actually run.
1,regular,1,"A movie that was simply made to showcase George Clooney's political views. I don't believe he had any intention on making a well crafted movie because it was boring, pathetically dramatic with over the top unnecessary performances."
0,regular,0," Unbelievably fun. Very, very, very worth the 3+ hours and price of admission. I never wanted it to end."
0,regular,0,"Don't be fooled, I waited a long time to watch this movie.  I looked and saw the ratings thinking it would be just an average movie-believe me the ratings are messed up.  Not sure why viewers weren't rating this movie higher.  Mind you this movie wasn't up for any Oscars nor should it have been, but still if you love non-stop over the top action then this is the movie for you!!  Based on current affairs this movie makes you think a little about waht could happen if we were under siege.  As a citiizen we just don't know how fallible our white house is??  Hopefully they would put up more safe guards than they did in the movie.  That said remind yourself this is a movie and yes some of the content was over the top, but I still give it a 9 because of the actors and the actresses involved, and for the top notch edge of your seat action.  Don't make the same mistake I did, if you haven't seen it give it a try.  Now I am all set to go see the sequel out in two weeks!!!!!!  I can't wait...................."
0,regular,0,"Philomena, a darker movie than what I expected, exceeded my expectations. What seemed like a light and fluffy comedy-drama from my perception of it turned out to be dramatic, deep, engaging story. The bursts of comedy mixed with the great chemistry between the two leads overpowers the few moments of slight implausibility in the movie."
1,regular,1,"This could have been a decent film, BUT the amount of unexplained things that happen because ""chaos"" make it really stupid. You will instantly know what I mean when you watch it. Just go in to this film expecting a 2/10 and you will enjoy it."
0,regular,0," I've heard everything on the spectrum for this movie, from too dark and different from the first, to the same old crap. I watched this movie opening night with the expectation of it holding the bar set by the first one. Coming out of the theatre I realised I'd experienced a much different movie from the first, a much darker and more character driven movie. Oddly enough I also find myself disagreeing with those who think this movie is funnier. I enjoyed this movie, and hold it up to par with the first: a moodier atmosphere, deeper characters, and a step away from typical romanticism and cheesy lines, all of which play to my preferences. Worth seeing if you have an open mind, dont expect every inch of novelty the first one had (it is the same series after all), and are willing to give the characters some room to grow. Final thoughts: Yes it is noticably long &amp; Davy Jones' is incredible: flawless animation and excellent acting seemlessly combined."
0,regular,0,Non-stop fun... not for old people (who need meaningful dialog for some reason) ; it's a younger crowd that will be absolutely ecstatic with this movie. The visuals are unbeatable from beginning to end.
0,regular,0,"Immediately from seeing the trailer, I wanted to see this movie so badly. My first impression and repeatedly seeing the trailer made me so anxious to see it, and finally I did and it was ABSOLUTELY AMAZING. There are some totally tragic parts that I won't spoil, but the whole time it's thrilling watching Dr. Ryan Stone (played by Sandra Bullock) try to escape the space debris and you can't help but root for her. George Clooney's character brings lightness to an otherwise dark and terrifying situation. Also, Sandra Bullock plays Dr. Stone so well that you cringe when she cringes, and can see every aspect of her predicament from how she would be seeing it, which is so great. So overall, Gravity gets a 10 because it was such a gripping, smart movie."
1,regular,1,"Nothing but a badly written re-hash of episode IV with a 'Mary Sue' main character. Plot holes aplenty, just a plain lazy attempt."
1,regular,1,"The best word to describe such a movie is disappointment. There is a point in the beginning of it where you thing that it isn't that bad as it's being said, but after that it's nothing but mistakes. Specially when you realise that the movie has ended, and you thought it was just starting to maybe get good. I wouldn't waste Money on seeing it."
