id,movie,author,metascore,review
90,my-blind-brother-movie,Kevin Jagernauth,25,"My Blind Brother is mirthless, though Kroll and Slate have a delightfully easy charm that occasionally rises above the tedium."
91,the-diving-bell-and-the-butterfly-movie,Lou Lumenick,100,You won't have a more viscerally emotional experience at the movies this year.
92,the-double-movie,Kalvin Henely,12,"If the idea of a political thriller with a modern-day Cold War theme resonates with you or something in our collective unconscious, my FOMO levels are higher than a lonely night on Facebook."
93,driven-movie,Michael Wilmington,38,"It's outrageously stereotypical and weirdly personal, so loonily exaggerated it keeps surprising you."
94,pride-2014-movie,Graham Fuller,80,"Among the actors, potential Oscar nominee Nighy is deeply affecting, but everyone in this rousing movie impresses. "
95,suicide-squad-movie,Mick LaSalle,0,"It’s the kind of torment you can wish on your worst enemy without feeling too guilty, not something to inflict permanent damage, just two hours of soul-sickening confusion and sensory torment."
96,the-painted-veil-movie,Michael Sragow,83,"No one has caught the pride, remorse and pain of an unloved and possibly unlovable husband better than Edward Norton in The Painted Veil."
97,jarhead-movie,Owen Gleiberman,83,"Jarhead isn't overtly political, yet by evoking the almost surreal futility of men whose lust for victory through action is dashed, at every turn, by the tactics, terrain, and morality of the war they're in, it sets up a powerfully resonant echo of the one we're in today."
98,whiplash-movie,James Rocchi,83,"The quest to be the best is a familiar film story, but if director-writer Chazelle has achieved anything here, it’s a deeply and richly different take on that journey—not only examining the cost of struggle but the reward of it, showing both what it takes to be great and what happens when you don’t have it."
99,fill-the-void-movie,A.A. Dowd ,91,"Burshtein shoots in extreme shallow focus, framing her actors against a sometimes-blinding blanket of white fuzz. It’s a decision that, coupled with Yitzhak Azulay’s stirring, chant-driven score, lends each conversation a near religious aura. "
100,grindhouse-movie,Mark Bell,90,"The only criticism that seems to merit any real discussion is whether directors Robert Rodriguez and Quentin Tarantino actually did make real grindhouse-style fare. To whit, I can easily say: yes, they not only made two on-point grindhouse films, they did them to painful perfection."
101,the-man-who-shot-liberty-valance-movie,Richard Brody,100,"It’s both the most romantic of Westerns and the greatest American political movie. But the movie is also romantic in another, intimate way—it’s a great love story and a painful triangle, involving the tenderfoot lawyer (James Stewart), his gunslinger friend (John Wayne), and the woman they both love (Vera Miles). "
102,on-the-line-movie,Kimberley Jones,11,Instantly forgettable.
103,no-one-lives-movie,Jeannette Catsoulis,30,"Mr. Kitamura, an action enthusiast who prefers to show rather than tell, seems unaware that the film’s dialogue is laughable, its characters unfathomable and the acting often less than optimal."
104,max-keebles-big-move-movie,Mick LaSalle,25,"A movie like this depends on clever bits and incidents, but there's little invention here to disguise the film's formulaic nature."
105,night-at-the-museum-battle-of-the-smithsonian-movie,Roger Ebert,38,"Oh, did I dislike this film. It made me squirm. Its premise is lame, its plot relentlessly predictable, its characters with personalities that would distinguish picture books."
106,the-informers-movie,Robert Abele,10,"Conjures up plenty of debauched tableaux with its photogenic, jaded showbiz denizens and hangers-on, but nary a reason for existing."
107,vera-drake-movie,William Arnold,91,"There's nothing harder for an actor to play than a thoroughly good character, and Staunton does it with a dowdy, sublime originality."
108,the-5th-wave-movie,Soren Andersen,38,This picture stands as the best argument yet that the YA dystopia cycle has passed its sell-by date.
109,bandits-1999-movie,Diana Abu-Jaber,16,One can only hope that the parties responsible for Bandits are brought to justice and someone can stop them before they film again.
110,looking-glass-movie,Glenn Kenny,38,The plot’s central mystery suffers from “Body Double” syndrome in that the movie has so few characters that the villain’s reveal can only elicit a shrug. 
111,envy-movie,Ty Burr,12,"A weirdly airless disaster, a turkey so insistently DOA that the dialogue serves as its own epitaph."
112,me-myself-irene-movie,Rita Kempley,10,"If you choose to see this puerile tripe, check your dignity at the door."
113,the-hammer-movie,Maitland McDonagh,75,"It's genuinely funny, oddly romantic and surprisingly engaging for what could easily have been an obnoxious vanity project."
114,albert-nobbs-movie,Peter Travers,75,"As directed with grit and grace by Rodrigo García, this quietly devastating film goes bone-deep."
115,take-my-eyes-movie,J.R. Jones,90,A harrowing drama spun from the most mundane material.
116,the-ottoman-lieutenant-movie,Stephanie Merry,37,"Morality is hardly the main concern of The Ottoman Lieutenant. Instead, it’s content with hackneyed romance and soaring strings."
117,after-dark-my-sweet-movie,Vincent Canby,70,"James Foley's After Dark, My Sweet is a brisk, entertaining contemporary melodrama about the kind of sleazy characters who populated California crime literature 35 years ago. That's no surprise, since the screenplay, adapted by Robert Redlin and Mr. Foley, is based on Jim Thompson's novel, published in 1955."
118,the-love-guru-movie,John Anderson,30,"The results are a wheezy, tired attempt to milk more laughs out of the '60s, by doing exactly what ""Austin Powers"" did."
119,a-streetcar-named-desire-movie,Staff (Not Credited),90,Tennessee Williams' exciting Broadway stage play - winner of the Pulitzer Prize and New York Drama Critics award during the 1947-48 season - has been screenplayed into an even more absorbing drama of frustration and stark tragedy.
120,the-merry-gentleman-movie,Lisa Schwarzbaum,33,This Debbie Downer of a drama is a bitter slog.
121,hyde-park-on-hudson-movie,Connie Ogle,38,"Maybe there's a good movie to be made about the affair between Franklin Delano Roosevelt and a distant cousin. I wouldn't bet on it, and Hyde Park on Hudson isn't it in any case."
122,scary-movie-5-movie,Stephanie Merry,0,"Lazy, boring, vile and tragically unfunny attempt at a horror-film spoof. "
123,rescue-dogs-movie,Michael Rechtshaffen,30,"There just aren't enough rescue dogs in the world to save ""Rescue Dogs,"" a shrill, yappy live-action comedy that proves considerably more annoying than adorable."
124,killer-joe-movie,Joe Morgenstern,0,"Killer Joe is, at bottom - and I mean bottom - ugly and vile, not to mention dumb and clumsy."
125,stepmom-movie,James Berardinelli,38,"This is the kind of tearjerker that will cause audience members to cry, but only because they paid hard-earned money to see it."
126,liam-movie,Staff (Not credited),12,Liam's deck is stacked. It's too bleak and filled with abrasive characters who don't deserve our sympathy to reveal much new about the human condition.
127,jim-andy-the-great-beyond-featuring-a-very-special-contractually-obligated-mention-of-tony-clifton-movie,Greg Cwik,63,"The film is about the idea of Andy Kaufman, about how artists channel their influences and keep the dead alive."
128,open-hearts-movie,Kimberley Jones,89,The Dogme pedigree rarely distracts; there is too much emotional investment to care much about dogmatic fidelity.
129,black-november-movie,Nathan Rabin,10,"As well-intentioned as it is thoroughly inept, Black November would be a serious contender for year-end worst lists if it weren’t so painfully noble and sincere."
130,eragon-movie,Pete Vonder Haar,10,"Eragon is laughably bad, mind-bogglingly derivative, and easily one of the worst movies of the year."
131,the-perfect-man-movie,Stephen Holden,10,"The range of Ms. Locklear's lobotomized acting runs from mild irritation to mild melancholy, expressed without expression."
132,carnage-2011-movie,Michael Phillips,75,"A lot of people have no use for Carnage, especially in its unapologetically hemmed-in film version. And yet there isn't a sloppily or casually considered shot in any of the 80 minutes."
133,the-accountant-movie,Steve Persall,25,"Ben Affleck is Agent Double-OCD in The Accountant, an effortlessly dumb thriller barely more entertaining than an audit."
134,vincent-theo-movie,Staff [Not Credited],90,One of Robert Altman’s most cinematically conventional films as well as one of his most deeply personal.
135,where-do-we-go-now-movie,Elizabeth Weitzman,80,"While the schemes occasionally seem strained, their desperate determination is never less than compelling."
136,last-action-hero-movie,Mick LaSalle,0,"The script is weak and unrelenting. The stunts are unspectacular. The special effects are nothing you haven't seen before. But worst of all, there's the spectacle of Schwarzenegger glorying in the wonder of Schwarzenegger. [18 Jun 1993, p.C1]"
137,13-hours-the-secret-soldiers-of-benghazi-movie,Peter Travers,25,"Is there an audience for this? Sadly, yes. There’s nothing wrong with a movie that cheers American heroes. But this one does so by reducing everything else to cardboard."
138,free-birds-movie,Liam Lacey,38,"Well-intended but maladroit, with a clever premise and cute animation that are undermined by the trite sci-fi parody plot and manic, unfunny banter."
139,the-homesman-movie,Claudia Puig,38,"The Homesman aims for a story that's poignant and told sparely, but comes across as mawkish, tedious and self-indulgent."
140,war-for-the-planet-of-the-apes-movie,Michael O'Sullivan,100,"War for the Planet of the Apes may have the body of an action film, but it has the soul of an art-house drama and the brains of a political thriller."
141,chris-don-a-love-story-movie,David Ansen,80,"Intimate, moving and playful."
142,black-snake-moan-movie,David Edelstein,70,"It's outlandish, hilariously overripe, and possibly sexist: You'd expect no less from Craig Brewer, the writer and director who made the passionate case for how hard it is out there for a pimp. But I loved the picture's tabloid energy and heart."
143,ice-age-continental-drift-movie,Jaime N. Christley,12,"Caters almost exclusively to the remedial, Duplo Blocks demographic, leaving parents and guardians bored to distraction. "
144,dead-man-walking-movie,Sean Means,90,"Their (Sarandon, Penn) performances and Robbins' drive to ask questions without offering easy answers make Dead Man Walking a thought-provoking drama not to be missed or dismissed."
145,the-edge-of-seventeen-movie,Christy Lemire,88,The Edge of Seventeen is a strong successor to Hughes’ legacy with its mix of biting humor and bittersweet heart. 
146,air-force-one-movie,Desson Thomson,90,"Ford makes such a dynamic president in Air Force One, you may find yourself favorably weighing his odds in Iowa and New Hampshire."
147,scary-movie-movie,Wesley Morris,75,Deadly funny.
148,jauja-movie,Ignatiy Vishnevetsky,83,"Everything signals birth—of Argentina, cinema, the nuclear family—until Dinesen descends into a womb-like cave and Jauja takes a hard left turn into enigma. Even the title is a mystery, the Spanish byword for a land of plenty. "
149,broadway-idiot-movie,Kyle Ryan,25,This documentary by rookie director Doug Hamilton plays more like a featurette on an American Idiot DVD than a stand-alone film.
150,mental-movie,Gary Goldstein,30,"Writer-director P.J. Hogan may have based Mental on an actual incident from his childhood, but the crazy quilt of a movie that resulted feels anything but real."
151,poolhall-junkies-movie,David Ng,0,"A movie that, in its unconditional embrace of an all-male subculture, amounts to little more than a rote circle jerk."
152,the-sweet-hereafter-movie,Marjorie Baumgarten,100,I can think of no other movie that has dared to analyze grief and its aftermath with such naked honesty and precision.
153,300-rise-of-an-empire-movie,Drew McWeeny,75,"300: Rise Of An Empire is a worthy sequel to ""300,"" stylistically consistent and equally loony, featuring what may well be the first truly can't-miss performance in a film this year."
154,mrs-parker-and-the-vicious-circle-movie,Roger Ebert,88,The great achievement of Alan Rudolph's Mrs. Parker and the Vicious Circle is that it allows us to empathize with Dorothy Parker on her long descent.
155,shaolin-soccer-movie,Ray Conlogue,75,One of Stephen Chow's extravagant and very funny martial-arts spoof movies.
156,steal-this-movie-movie,J. Hoberman,10,"At once simple-mindedly didactic and utterly chaotic, Steal This Movie! is interspersed with fake headlines and botched history."
157,shrink-movie,Wesley Morris,25,"This movie brings to mind much better cable TV shows like the marijuana comedy ""Weeds,’"" the one-on-one psychodramas of ""In Treatment,"" and the astonishingly cinematic ""Breaking Bad."""
158,mama-movie,Ed Gonzalez,12,"The premise isn't even worthy of executive producer Guillermo del Toro, who will apparently lend his name to any film as long as it fulfills its quota of moths and vulvic openings."
159,dead-man-down-movie,Kyle Smith,12,"While a mob thriller can be as nasty as it likes, what it can’t be is silly. "
160,the-insult-movie,Peter Rainer,91,"In the end, the film’s most nuanced summation comes from Wajdi, who says, “No one has a monopoly on suffering.”"
161,the-human-centipede-ii-full-sequence-movie,Andy Webster,10,"In place of novelty we have dank interiors (shades of ""Saw"") and black-and-white photography (à la ""Eraserhead""). Still missing is that lingering subtext, leaving only a lurid, splattery wallow in grime, blood and excrement. "
162,walk-the-line-movie,Ella Taylor,70,"An engaging biopic that would totally lack surprise were it not for Reese Witherspoon, and a healthy touch of ambivalence about the populist myth that bound The Man in Black to his adoring public."
163,stay-movie,Manohla Dargis,30,"Marc Forster takes a maximalist approach to this mumbo jumbo, which means that in addition to lots of wacky angles, shiny surfaces, seemingly endless stairs, and sets of twins, triplets and quadruplets, he deploys the unsettling vision of three talented actors - Ewan McGregor, Naomi Watts and Ryan Gosling - straining credulity and neck tendons in the service of serious claptrap."
164,a-view-to-a-kill-movie,Pauline Kael,30,"The James Bond series has had its bummers, but nothing before in the class of this one."
165,samson-movie,Peter Sobczynski,38,"The problem with Samson is that while it cannot be faulted for its sincerity, it can be faulted for its sluggish pacing, inconsistent performances and lack of cinematic style that gives the proceedings a tacky feel throughout."
166,the-week-of-movie,Brian Tallerico,38,This is still a perfect example of the market that Netflix seems intent to corner: Movies You Can Watch While You Play Games on Your Phone.
167,boy-movie,Kyle Smith,75,"This charming kid's-eye movie, full of comical and vivid detail about the lives of these cheerful children, has the loose, lanky feel of a memoir and of French New Wave films."
168,corpse-bride-movie,William Arnold,91,"One more good thing is that the movie doesn't overstay its welcome. At 76-minutes, it's wisely calculated to give us as much of its ghoulish whimsy as we can take in one sitting, and not a second more."
169,event-horizon-movie,Jonathan Rosenbaum,0,"If you haven't lived until you've seen Laurence Fishburne and Sam Neill duke it out in a vat full of red paint, here's your chance; personally, my idea of hell would be having to see this stinker again."
170,dave-chappelles-block-party-movie,Michael Sragow,83,Some of the movie's sunniest moments arrive as Chappelle ambles through Ohio. He's an observational comic with a drawling syntax that's almost as sly as Mark Twain's.
171,little-boy-movie,Alan Scherstuhl,10,Examinations of faith on film don't have to be noxious. 
172,the-sitter-movie,Amy Biancolli,0,"The Sitter is not (Funny). At all. By any definition, although an argument might be made for the alternate meanings ""perplexing,"" ""deceptive"" and ""slightly unwell."""
173,surviving-christmas-movie,Allison Benedikt ,63,"As light, fluffy, cockle-warming holiday entertainment, this thing is pretty sweet. "
174,living-in-emergency-stories-of-doctors-without-borders-movie,Joe Morgenstern,80,Living in Emergency is anything but bleeding-heart propaganda.
175,soul-men-movie,Nathan Rabin,0,"For all its crudeness and desperation, Soul Men can't scare up a single laugh."
176,o-brother-where-art-thou-movie,Peter Travers,100,"It's a wild, whacked-out wonder.  Coenheads rejoice."
177,upside-down-movie,Peter Sobczynski,88,This is one of the craziest films to come along in a while and I can confidently say that anyone who sees it will either hail it is some kind of crackpot masterpiece or dismiss it as one of the silliest damn things they've ever seen. 
178,liam-movie,Connie Ogle,63,"Wields some power, but it's hard to shake the feeling you've seen it all before."
179,the-time-travelers-wife-movie,Jeannette Catsoulis,30,"McAdams glows, as always, but Bana looks drained: I guess all that time-shifting leaves its mark on the complexion as well as the soul."
180,calvary-movie,Roger Moore,88,"Calvary is a compact and biting tale of a righteous man being tested by his faith, his peers and his predicament. "
181,species-movie,Staff (Not Credited),38,"Superb actors and the best special effects money can buy can only go so far when you have a second-rate script sprinkled with unintentional laugh lines. [07 July 1995, p.3E]"
